编号,开始答题时间,结束答题时间,答题时长,地理位置国家,地理位置省,地理位置市,自定义字段,IP,UA,Referrer,1.读懂一个陌生老模块时，你第一步让大模型做什么？,1.读懂一个陌生老模块时，你第一步让大模型做什么？_[选项填空],2.大模型帮你理解老代码后，产出物最终沉淀在哪？,2.大模型帮你理解老代码后，产出物最终沉淀在哪？_[选项填空],3.一次喂给大模型多少代码量？,4.改动老代码前，你会怎么保护已有的特殊逻辑（客户定制、历史补丁）不被破坏？,5.遇到过大模型悄悄丢掉特殊逻辑的情况吗？,5.遇到过大模型悄悄丢掉特殊逻辑的情况吗？_[选项填空],6.在用大模型做重构或补全前，你会先建立回归测试或行为快照吗？,7.大模型生成或修改代码后，你怎么确认改动是安全的？,8.目前最大的障碍是什么？,8.目前最大的障碍是什么？_[选项填空],9.你最有效的一个Prompt技巧或工作流是什么？,"10.你在老仓库中用大模型，有没有一个让你觉得""这个方法真好使""的具体做法？请描述。"
11,2026-06-24 10:09:09,2026-06-24 10:16:25,436,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先让它找入口函数，再逐层展开,,写成独立文档，同步到团队Wiki,,500-5000行,特殊流程整理成文档，让模型读，作为模型要遵守的规则,遇到过，发现方式：____________,读模型更新结果，review代码，测试,一般不会,读模型处理过程、最终总结\nreview代码、看实现和思路是否一致\n功能测试，回归测试,其他：____________,有时不稳定，用也要花时间review,1. 需求喂给大模型，让大模型提问\n2. 大模型给方案，讨论方案\n3. 方案上不要给太多的发散空间\n4. 方案确定后成文档，再让大模型干\n5. 想和干分开,指定文件、方法让模型看，或者一个明确的执行流程，不是读整个仓库
12,2026-06-24 10:13:30,2026-06-24 10:16:37,187,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,直接贴代码问“这段是干什么的”,,写成独立文档，同步到团队Wiki,,500-5000行,对话中明确说明,没遇到,,会，这是前提,单测，review，回归测试,上下文装不下,,尽可能详细,尽可能详细
13,2026-06-24 10:16:11,2026-06-24 10:22:41,390,新加坡,新加坡,,,128**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,5000-50000行,改动前先做影响范围分析，然后代码审查时重点审业务逻辑，在改动时可以小范围限定改动,遇到过，发现方式：____________,review代码时发现,会，这是前提,首先让模型自己审查，找出关键点，然后写对照测试,输出不稳定，不敢直接用,,先定义执行流程，比如说先对于功能开发，从需求评审-&gt;设计思路-&gt;实现路径这几个方面来,我在老仓库中使用大模型时，觉得最有效的做法是“先让模型做历史逻辑盘点，再让它给最小改动方案”，而不是一开始就让它直接改代码。我会先把相关代码、报错信息、调用链、业务背景和限制条件一起给大模型，然后明确要求它输出四类内容：第一，当前逻辑在做什么；第二，哪些地方可能是客户定制或历史兼容逻辑；第三，最小修改方案是什么；第四，需要补哪些测试来防止回归。这样可以避免模型为了让代码更“干净”而误删老仓库里看起来奇怪但实际有业务价值的逻辑。\n\n一个比较典型的成功案例是接口调试工具里 URL 构造报错的问题。当时老代码里有一段签名和请求组装逻辑，报错是 `Failed to construct &#39;URL&#39;: Invalid URL`。表面看只是 URL 格式问题，但这段代码同时涉及请求路径、query 参数、Host、body 签名等逻辑，不能直接重写，否则可能破坏已有鉴权规则。\n\n我的处理过程是：先让大模型根据报错和代码分析根因，它判断问题主要出在直接用 `new URL(url)` 解析了不完整或非法 URL；然后我继续要求它不要改签名算法，只围绕 URL 解析做最小修复。模型给出的建议是：先判断 URL 是否为完整地址，如果不是，则结合环境变量中的 baseUrl 进行补全；同时保留 pathname、search、host 和 body 的原有拼接规则，避免影响历史签名逻辑。接着，我让它补充了几组测试场景，包括完整 URL、相对路径、带 query 参数、空 body、有 body 等情况。\n\n最终效果是，问题修复没有牵动原有鉴权逻辑，也没有把老代码整体重构。通过这种方式，大模型不是单纯充当“代码生成器”，而是变成了一个辅助排查和风险控制工具。它帮我快速定位问题，同时提醒哪些逻辑不能轻易动，减少了人工阅读老代码的时间，也降低了修改历史补丁、客户定制逻辑时引入回归问题的风险。\n
14,2026-06-24 09:40:10,2026-06-24 10:23:34,2604,中国,浙江省,杭州市,,124**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,其他：____________,结合文档梳理调用关系，并告知忽略次要细节，关注主链路,写成独立文档，同步到团队Wiki,,500-5000行,"1.先让大模型理解当前模块，可以提供历史 PR 或者 文档\n2.尽量详细的告知大模型如何修改, 写文档告知: 现状, 需求, 修改方案, 用例Case举例, 用到的 API定义, 约束限制， 会涉及到的代码文件\n3.要求改动尽量小，不要影响纯量逻辑，必要时增加开关配置\n4.用多个大模型来交叉Review 代码，就让它 Review 兼容性问题，对于复杂的改动，用顶级大模型 Review 效果更好\n5.必须人工Review 每一行代码\n6.纯量用例测试回归\n7.增加测试用例，覆盖尽量多的场景",遇到过，发现方式：____________,多个大模型Review 或者人工Review,会，这是前提,"1.让多个大模型交叉 Review, 就让它 Review 兼容性问题，对于复杂的改动，用顶级大模型 Review 效果更好\n2.人工 Review 每一行改动\n3.回归测试用例",其他：____________,顶级大模型还是偏贵,自动创建 PR 的Skill ，这是平时用的最多的，在改完代码后用这个Skill 创建PR ，比较方便，会写明当前改动具体做了什么，功能影响，性能影响，配置改动 等，方便其它同事Review 代码\n\n\n\n,"成功的案例：用大模型定位线上问题 有时候比人更快\n实施过程： 把 问题现象，监控图表,  服务日志（需人工过滤出关键日志，避免太多无效日志影响大模型推理效率），服务涉及到的代码文件/模块 告知大模型\n效果：能定位到问题，并给出最小修复建议"
15,2026-06-24 10:19:10,2026-06-24 10:34:08,898,中国,上海市,上海市,,61.**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,500-5000行,已知问题：方案设计阶段说明 + 代码review\n兜底处理：完善的测试场景覆盖,遇到过，发现方式：____________,代码review,会，这是前提,1. 使用不同的模型进行code review\n2. 对于新功能以prompt要求编写覆盖边界场景的测试用例\n3. 对于现有功能要求通过已有的测试回归,上下文装不下,,commit-push-pr\nfix-pr-comments,无
16,2026-06-24 10:11:18,2026-06-24 10:42:30,1872,中国,上海市,上海市,,61.**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,其他：____________,"输出模块地图: 对外暴露哪些入口, 主要文件/接口/函数分别负责什么, 核心数据结构和状态流转是什么, 依赖哪些外部系统, 哪些是历史包袱, 隐含约定, 要改先读哪些文件",其他：____________,分层沉淀: 代码旁边注释等;仓库文档;规格/计划/调研文档等;测试和验证脚本;个人知识库,500行,"1. 先找特殊逻辑\n2. 让大模型列不可破坏清单\n3. 把特殊逻辑变成测试\n4. 改动范围尽量小\n5. 让模型做差异风险审查\n6. 沉淀保护规则\n\n警惕看起来像脏逻辑，其实是业务地雷，不能靠感觉清理, 老代码里的特殊逻辑，先当成文物保护，不当成垃圾清理。先标出来、测起来、写下来，再改\n",遇到过，发现方式：____________,发现模型丢特殊逻辑，不能靠信任它“应该没漏”，要靠分支清单、行为 diff、历史用例和灰度对比，把那些沉默的差异逼出来。,会，这是前提,"1. 先看diff, 有没有删掉特殊分支？有没有改默认值？有没有改变调用顺序、重试次数、超时、fallback？等\n2. 让模型做行为审查, 请只审查这次 diff 的行为风险。重点看: xxx\n3. 跑回归测试 / 行为快照\n4. 灰度和观测",其他：____________,最大的障碍不是大模型不会写代码，而是它很难天然知道哪些旧行为是业务资产，哪些只是历史垃圾。,请先输出“不可破坏清单”，再做修改。\n1. 当前模块的入口、主流程、外部依赖\n2. 所有看起来像客户定制、历史兼容、灰度开关、特殊错误码、fallback 的逻辑\n3. 每条特殊逻辑的代码位置和触发条件\n4. 哪些行为不能在重构中悄悄改变\n5. 你有哪些不确定点，必须标为“不确定”，不要脑补\n6. 重构只能改变结构，不改变行为\n7. 如果任何行为会改变，必须单独列为显式行为变更，不要混入重构\n8. 保留客户/租户/版本/feature flag/错误码/fallback/null 空值处理\n9. 修改后请输出：保留了哪些特殊逻辑、对应哪些测试覆盖,问题背景\n\nmiku 中的streamd 链路承担直播流接入、播放地址生成、转推、回调和状态维护等职责。这个模块历史比较长，代码里混杂了老版本播放地址兼容逻辑、不同 CDN 或域名的分支、不同 App 或业务线的定制参数、推流断流重试回调相关的历史补丁，以及一些看起来多余但实际上被日志、排障工具或运维脚本依赖的字段。\n\n团队想整理其中一段播放地址生成或转推配置逻辑，但不敢直接改。主要原因是很多分支已经很难判断它到底是历史垃圾，还是线上仍然依赖的特殊逻辑。如果直接让大模型重构，它可能会把这些看起来不统一、不优雅的分支误判成冗余逻辑，从而悄悄改变线上行为。\n\n解决方法\n\n这次没有让大模型一上来就写代码，而是先让它做代码考古。核心方法是三步：入口地图、分支账本、行为快照。\n\n第一步是入口地图。先让大模型找出播放地址生成链路从哪个 API、handler 或 service 进入，标出核心函数、配置读取点、外部依赖和主要调用路径。目标不是立刻评价代码好坏，而是先知道这条链路从哪里进、经过哪些关键节点、最后影响哪些输出。\n\n第二步是分支账本。让大模型把所有和域名、CDN、App、客户、协议、清晰度、鉴权、过期时间、回调字段有关的条件分支列出来。每条分支都要记录代码位置、触发条件、影响字段、可能的业务含义，以及如果重构时丢掉它可能造成的线上风险。\n\n第三步是行为快照。基于分支账本，为典型场景生成输入输出表。比如默认 App、特殊 App、不同 CDN、鉴权开关、过期时间边界、配置缺失、异常返回等场景。快照重点不是证明旧代码设计正确，而是先锁住旧代码当前的真实行为。\n\n当时给大模型的指令大致是：请只阅读 streamd 中播放地址生成和转推配置相关代码，不要修改。输出一份分支账本，包括每个条件分支的位置、触发条件、影响的播放 URL 参数、域名、协议、鉴权、过期时间或回调字段。请判断这个分支看起来像默认逻辑、历史兼容、客户定制、灰度开关还是不确定。如果重构时丢掉它，请说明可能造成什么线上风险，并建议用什么输入输出快照保护。\n\n实施过程\n\n实施时没有做大手术，而是按小步推进。\n\n第一步先不改代码，只让大模型扫入口和调用链。它需要输出最应该优先阅读的几个文件以及原因。这样可以先把阅读范围收住，避免模型把无关模块卷进来，也避免一开始就进入泛泛而谈的总结模式。\n\n第二步整理分支账本。比如某个 App 使用特殊域名，某类播放协议需要额外 query 参数，某些 CDN 的 URL 签名算法不同，某个字段虽然播放端不用但日志检索或排障脚本依赖，或者过期时间为空时不能简单套默认值而必须保留历史行为。这些都被记录成一条条可 review 的账本项。\n\n第三步生成快照用例。让大模型基于分支账本生成最小 case 集，每个 case 对应一个或多个高风险分支。重点比对 URL 的 host、path、query 参数、token 或 sign、expire、callback 字段和错误码。这样回归目标从“播放能不能播”变成了“关键输出字段是否和旧行为一致”。\n\n第四步才进入小范围重构。重构只做结构整理，比如抽出重复的签名逻辑、整理配置读取、局部拆分 URL 拼接逻辑。明确禁止改变 URL 结构、错误码、日志关键字段、默认值和空值行为。如果发现某个行为确实应该改变，必须单独列为显式行为变更，不能混在重构里。\n\n第五步做改后行为审查。让大模型只比较原逻辑和新逻辑的行为差异，不评价代码风格。审查重点包括 host、path、query 参数、签名、过期时间、协议选择、错误码、日志字段和回调字段。这样可以把模型从“代码审美模式”拉回“行为风险控制模式”。\n\n效果评估\n\n这个方法最直接的效果，是把团队对老代码的感觉从“不敢改”变成了“知道哪里不能动”。以前大家只知道这段逻辑危险，但危险点是模糊的。分支账本出来以后，风险变成了具体清单，reviewer 可以逐条确认哪些是客户定制，哪些是历史兼容，哪些可以后续清理，哪些必须保留。\n\n第二个效果是发现了隐藏依赖。有些字段看起来对播放本身没有影响，但其实运维脚本、日志检索或排障流程依赖它。有些默认值看起来可以统一，但老客户端或特定 CDN 依赖旧格式。如果没有先做分支账本，这些逻辑很容易在“顺手优化”里被删掉。\n\n第三个效果是重构范围明显变小。最后没有做大规模重写，而是只整理重复签名逻辑、配置读取和 URL 拼接这几个局部点。特殊分支保留原语义，行为变化和结构整理被拆开处理，review 难度明显下降。\n\n第四个效果是回归验证更明确。过去可能只是简单验证播放是否成功，但现在可以按快照确认不同 CDN 地址是否一致、特殊 App 参数是否一致、签名和过期时间是否一致、异常配置是否仍返回原错误码。这种验证比单纯点播一下更可靠。\n\n第五个效果是产物可以复用。入口地图、分支账本和行为快照可以沉淀到模块文档、PR 描述或后续测试里。下一次再改播放地址或转推配置逻辑时，不需要重新从零考古，团队可以直接基于已有账本继续补充。\n\n总结\n\n这个案例里，大模型最有价值的地方不是直接自动重构，而是先帮团队把老 streamd 播放链路里隐藏的历史知识挖出来。通过入口地图、分支账本和行为快照，客户定制、CDN 差异、签名兼容、日志依赖和错误码约定这些隐性知识被转成了可 review、可回归、可沉淀的工程资产。等保护网建立起来以后，再做小范围重构，风险就会低很多。\n
17,2026-06-24 11:26:45,2026-06-24 11:32:51,366,中国,上海市,上海市,,61.**********,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 SLBrowser/9.0.8.3131 SLBChan/111 SLBVPV/64-bit",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,500-5000行,文档记录，测试策略,遇到过，发现方式：____________,回归测试有问题,会，这是前提,文档约束 + 单元测试 + 回归测试,输出不稳定，不敢直接用,,superpowers + tdd,文档驱动，每一个模块都要有喂给大模型的 md 文件，其中包括约束，目标，测试流程等规则，先有文档，再让大模型动代码。
18,2026-06-24 13:50:25,2026-06-24 14:15:14,1489,中国,江苏省,镇江市,,153***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36 Edg/149.0.0.0",,先让它找入口函数，再逐层展开,,整理成注释，提交进仓库,,500-5000行,对新代码使用新的入口，老入口同时保留，先做灰度回归测试。没问题了再用新代码取代老代码,遇到过，发现方式：____________,后续的新功能遇到问题，发现是之前大模型做优化时丢弃了部分特殊逻辑,有时候会,尽量做测试确认改动安全，包括开发环境测试，测试环境测试，实在测试不了就只能确认代码逻辑上是正确的。,没有测试，无法验证对错,,给出详细的需求，需要更改的代码范围或关键入口点，让大模型自行进行计划。之后审查计划确认没问题再让ai执行。一次性完成任务的概率会高很多。,目前没有，主要是在新仓库使用
19,2026-06-24 10:31:07,2026-06-24 14:25:15,14048,中国,上海市,上海市,,61.**********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",,先喂文档/注释，再贴代码,,写成独立文档，同步到团队Wiki,,5000-50000行,1. 梳理原先逻辑的逻辑流程和功能文档，以及git 历史来源， 确保新引入的逻辑不破坏\n2. 为原先逻辑增加表格驱动测试，方便后续改动代码做测试回归,没遇到,,有时候会,1. 人为 reivew 逻辑和ut\n2. 根据白盒ut 来验证改动是否符合预期\n3. 测试环境上线，出一组黑盒的表格驱动用例，做实际回归验证,没有测试，无法验证对错,,采用plan-execute模式\n1. plan 计划时，会出一版本技术文档，其中包括了 需要读取的参考代码位置，修改代码在哪个文件，详细需求背景以及本次的实现方向和设计图,背景： 需要明确cdn 动态节点在源站哪些问题情况下会强制触发兜底逻辑\n1. 找到对应的核心代码改动，查找对应的git commit number， 提交给大模型\n2. 提出实际需要知道的问题
20,2026-06-24 09:39:54,2026-06-24 17:02:49,26575,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,先喂文档/注释，再贴代码,,整理成注释，提交进仓库,,500行,先写测试把现有行为锁死，哪怕它看起来不合理，确保改动后结果不变；重构和修bug分开做，一次只动一个点，绝不在改结构的时候顺手改逻辑，否则出了问题都查不清；上线前用开关控制新旧逻辑，先小流量跑，观察没问题再全量，万一出事立马切回。最关键的是，别手贱去“顺便优化”无关代码，看着再别扭也忍住。,遇到过，发现方式：____________,服务出错,有时候会,改完后先跑编译和已有的测试集，确保历史逻辑没被它“优化”掉；然后重点看它改没改那些写着奇怪数字和判断的老代码，最后用开关卡着先放1%的流量跑一跑，盯着监控没问题再全量。,输出不稳定，不敢直接用,,pr-api-regression-test 这个 skill 的定位是：针对当前 PR 中涉及 API 的改动，自动分析受影响接口，调用本地启动的服务做真实 HTTP 回归测试，并把测试结果整理后评论到 PR 下。\n核心流程是：\n分析当前 PR 中 API 相关改动\n找出受影响的接口\n调用本地启动的服务做真实 HTTP 请求\n校验状态码、响应字段和接口可用性\n整理测试结果\n评论到对应 PR 下\n设计重点是：不只看代码、不只写建议，而是实际调用接口验证结果。,背景：PR 改接口时，单看 diff 容易误判接口是否真的可用。\n方法：让模型分析 API 改动，生成测试请求，调用本地服务做真实 HTTP 验证。\n过程：提取受影响接口 → 执行请求 → 校验状态码和响应 → 整理结果 → 评论到 PR。\n效果：review 结果有证据、更可信，也减少了“代码看着对但接口跑不通”的问题。
21,2026-06-24 19:11:33,2026-06-24 19:14:31,178,中国,北京市,北京市,,103***********,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,先让它梳理调用关系/依赖图,,写成独立文档，同步到团队Wiki,,5000-50000行,单独写版本，不影响老逻辑,遇到过，发现方式：____________,,会，这是前提,自己review下,上下文装不下,,大功能先md需求设计，功能设计，测试设计，编码，验证,大功能先md需求设计，功能设计，测试设计，编码，验证
22,2026-06-26 12:55:42,2026-06-26 13:10:00,858,中国,上海市,上海市,,139***********,"Mozilla/5.0 (linux; Android 13; Phone; OpenHarmony 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36  ArkWeb/6.1.0.120 Mobile MicroMessenger/7.0.1 wxwork/5.0.8 wwhmos/0.9.16.420 wwbuildver/10000 NetType/WIFI Language/zh ColorSchem",,先喂文档/注释，再贴代码,,整理成注释，提交进仓库,,500行,除非旧逻辑有bug，或者新旧逻辑有冲突，优先按照扩展新接口的方式实现新功能,遇到过，发现方式：____________,如果不重视历史包袱的起因，过于强调优化，可能会导致ai丢掉历史包袱去重构,会，这是前提,ut 和 e2e，跑不通之前的e2e肯定是有影响,其他：____________,review 环节，一次性review出的问题的数量和质量。经常要反复review 十几轮，确实存在review范围不足，问题不真实，过于琐碎的情况。,确认当前改动的正确性，完备性，历史兼容性。\n,让ai参考已有项目的已有功能去实现。
